year,month,day,hour,hourSin,hourCos,upper,lower,PVout,price,imbalance,PVout_true,price_true,imbalance_true
2023,1,4,4,0.866025404,0.75,1.4055741,0,0.70278704,19.16321,18.45625,0,19.83,21.71
2023,1,4,4.5,0.923879533,0.691341716,1.475477,0,0.7377385,19.389421,18.775925,0,18,21.8
2023,1,4,5,0.965925826,0.629409523,1.5450485,0,0.77252424,19.446024,19.154812,0,19.83,21.82
2023,1,4,5.5,0.991444861,0.565263096,1.5806801,0,0.79034007,19.399345,19.5596,0,21.29,22.08
2023,1,4,6,1,0.5,1.6120541,0,0.80602705,19.813875,20.371574,0,19.83,22.51
2023,1,4,6.5,0.991444861,0.434736904,1.6213952,0,0.8106976,20.327387,21.262348,0,21.35,24.23
2023,1,4,7,0.965925826,0.370590477,1.6307534,0,0.8153767,20.860254,22.163565,0,22.32,22.71
2023,1,4,7.5,0.923879533,0.308658284,1.6123352,0,0.8061676,20.44853,22.033722,0.075886668,24.49,22.79
2023,1,4,8,0.866025404,0.25,1.5904045,0,0.79520226,21.340746,22.845093,0.164858322,25.25,23.19
2023,1,4,8.5,0.79335334,0.195619285,1.5473435,0,0.77367175,21.209122,22.683924,0.304179022,23,21.67
2023,1,4,9,0.707106781,0.146446609,1.4267154,0,0.7133577,21.621145,22.617039,0.469453732,21.92,20.37
2023,1,4,9.5,0.608761429,0.10332333,1.3391137,0,0.66955686,21.410316,22.175018,0.633300448,20,11.47
2023,1,4,10,0.5,0.066987298,1.2578895,0,0.62894475,20.727312,21.481285,0.811771484,17.65,8.92
2023,1,4,10.5,0.382683432,0.038060234,1.201091,0,0.6005455,20.201527,21.009125,0.838952428,19.83,10.91
2023,1,4,11,0.258819045,0.017037087,1.1501524,0,0.5750762,19.597752,20.342167,1.057328765,17.24,7.92
2023,1,4,11.5,0.130526192,0.004277569,1.0994718,0,0.5497359,19.302946,20.078604,1.028897841,15,7.92
2023,1,4,12,1.22E-16,0,1.0491992,0,0.5245996,18.86568,19.578056,1.002503045,13.05,0
2023,1,4,12.5,-0.130526192,0.004277569,1.0064621,0,0.50323105,18.789646,19.507038,1.088572398,13.01,0
2023,1,4,13,-0.258819045,0.017037087,0.9637251,0,0.48186255,18.56373,19.20306,1.064301456,13,17.46
2023,1,4,13.5,-0.382683432,0.038060234,0.9725206,0,0.4862603,18.595345,19.256454,0.975242875,16.91,19.23
2023,1,4,14,-0.5,0.066987298,0.99827075,0,0.49913538,18.475828,19.09037,0.949826086,18,20.38
2023,1,4,14.5,-0.608761429,0.10332333,1.1288651,0,0.56443256,18.517813,19.182419,0.804451106,16.91,18.7
2023,1,4,15,-0.707106781,0.146446609,1.2502534,0,0.6251267,18.2667,19.03418,0.62954678,18.44,21.77
2023,1,4,15.5,-0.79335334,0.195619285,1.4227611,0,0.71138054,18.463535,19.514685,0.447018257,17.59,21.32
2023,1,4,16,-0.866025404,0.25,1.5937133,0,0.79685664,18.841599,19.74373,0.29385511,17.65,21.76
2023,1,4,16.5,-0.923879533,0.308658284,1.6642189,0,0.83210945,19.449286,19.902771,0.179634173,21.24,21.44
2023,1,4,17,-0.965925826,0.370590477,1.7174687,0,0.85873437,20.123499,20.206238,0.044511371,22.07,22.11
2023,1,4,17.5,-0.991444861,0.434736904,1.6339513,0,0.81697565,19.53604,19.170824,0.024064133,22.11,22.31
