year,month,day,hour,temp,rain,weather,PVout[kW],price[yen/kW30m]
2019,11,16,1,11.7,0,2,0,7.1
2019,11,16,1.5,11.7,0,2,0,7.04
2019,11,16,2,11.7,0,2,0,7.04
2019,11,16,2.5,11.7,0,2,0,7.04
2019,11,16,3,11.1,0,2,0,7.11
2019,11,16,3.5,11.1,0,2,0,7.1
2019,11,16,4,11,0,2,0,7.04
2019,11,16,4.5,11,0,2,0,7.03
2019,11,16,5,9.9,0,2,0,8.18
2019,11,16,5.5,9.9,0,2,0,8.18
2019,11,16,6,9.7,0,2,0,8.95
2019,11,16,6.5,9.7,0,2,-0.015,8.95
2019,11,16,7,9.6,0,2,0.03,8.18
2019,11,16,7.5,9.6,0,2,0.328,7.62
2019,11,16,8,11.3,0,2,0.517,6.8
2019,11,16,8.5,11.3,0,2,0.723,6.8
2019,11,16,9,14,0,2,0.863,6.36
2019,11,16,9.5,14,0,2,0.994,6.25
2019,11,16,10,16.3,0,2,1.105,6.09
2019,11,16,10.5,16.3,0,2,1.158,6.09
2019,11,16,11,16,0,2,1.193,6.14
2019,11,16,11.5,16,0,2,1.201,6.14
2019,11,16,12,17.7,0,2,1.19,6.14
2019,11,16,12.5,17.7,0,2,1.156,6.14
2019,11,16,13,18.5,0,2,1.076,6.23
2019,11,16,13.5,18.5,0,2,0.991,6.34
2019,11,16,14,19,0,2,0.868,6.69
2019,11,16,14.5,19,0,2,0.718,6.7
2019,11,16,15,19.3,0,2,0.575,7.81
2019,11,16,15.5,19.3,0,2,0.162,7.74
2019,11,16,16,18.8,0,2,0.157,9.4
2019,11,16,16.5,18.8,0,2,0.018,9.4
2019,11,16,17,17.4,0,2,-0.029,12.27
2019,11,16,17.5,17.4,0,2,0,12.27
2019,11,16,18,16.4,0,2,0,12.39
2019,11,16,18.5,16.4,0,2,0,12.39
2019,11,16,19,15.9,0,2,0,11.98
2019,11,16,19.5,15.9,0,2,0,11.85
2019,11,16,20,15.1,0,2,0,9.88
2019,11,16,20.5,15.1,0,2,0,9.51
2019,11,16,21,14.7,0,2,0,9.14
2019,11,16,21.5,14.7,0,2,0,9.05
2019,11,16,22,14.4,0,2,0,8.96
2019,11,16,22.5,14.4,0,2,0,8.96
2019,11,16,23,13.6,0,2,0,8.53
2019,11,16,23.5,13.6,0,2,0,7.39
2019,11,17,0,13.6,0,2,0,6.55
2019,11,17,0.5,13.6,0,2,0,6.55
2019,11,17,1,12.6,0,2,0,6.5
2019,11,17,1.5,12.6,0,2,0,6.41
2019,11,17,2,11.9,0,2,0,6.44
2019,11,17,2.5,11.9,0,2,0,6.42
2019,11,17,3,11.2,0,2,0,6.49
2019,11,17,3.5,11.2,0,2,0,6.49
2019,11,17,4,10.7,0,2,0,6.61
2019,11,17,4.5,10.7,0,2,0,6.61
2019,11,17,5,10.6,0,2,0,6.63
2019,11,17,5.5,10.6,0,2,0,6.63
2019,11,17,6,10.5,0,2,0,6.69
2019,11,17,6.5,10.5,0,2,-0.015,6.69
2019,11,17,7,10.8,0,2,0.045,6.7
2019,11,17,7.5,10.8,0,2,0.315,6.7
2019,11,17,8,12.8,0,2,0.505,6.4
2019,11,17,8.5,12.8,0,2,0.705,6.41
2019,11,17,9,14.8,0,2,0.88,6.25
2019,11,17,9.5,14.8,0,2,1.011,6.25
2019,11,17,10,17.8,0,2,1.108,4.98
2019,11,17,10.5,17.8,0,2,1.181,4.61
2019,11,17,11,19.1,0,2,0.867,4.61
2019,11,17,11.5,19.1,0,2,1.273,4.63
2019,11,17,12,19.5,0,2,1.377,4.61
2019,11,17,12.5,19.5,0,2,1.215,4.61
2019,11,17,13,20.2,0,2,1.131,4.72
2019,11,17,13.5,20.2,0,2,1.03,5.17
2019,11,17,14,19.8,0,2,0.922,6.1
2019,11,17,14.5,19.8,0,2,0.328,6.2
2019,11,17,15,19.3,0,2,0.608,6.55
2019,11,17,15.5,19.3,0,2,0.391,6.55
2019,11,17,16,18.3,0,2,0.132,9.06
2019,11,17,16.5,18.3,0,2,0.017,9.06
2019,11,17,17,17.3,0,2,-0.029,10.8
2019,11,17,17.5,17.3,0,2,0,10.8
2019,11,17,18,16.6,0,2,0,10.8
2019,11,17,18.5,16.6,0,2,0,10.8
2019,11,17,19,15.7,0,2,0,10.11
2019,11,17,19.5,15.7,0,2,0,10.03
2019,11,17,20,14.7,0,2,0,10.3
2019,11,17,20.5,14.7,0,2,0,10.26
2019,11,17,21,14.1,0,2,0,9.19
2019,11,17,21.5,14.1,0,2,0,9.16
2019,11,17,22,14.1,0,4,0,8.96
2019,11,17,22.5,14.1,0,4,0,8.95
2019,11,17,23,13.8,0,4,0,8.88
2019,11,17,23.5,13.8,0,4,0,8.75
2019,11,18,0,13.2,0,2,0,6.62
2019,11,18,0.5,13.2,0,2,0,6.62
2019,11,18,1,13,0,2,0,6.5
2019,11,18,1.5,13,0,2,0,6.5
2019,11,18,2,13,0,4,0,6.42
2019,11,18,2.5,13,0,4,0,6.42
2019,11,18,3,13.3,0,4,0,6.5
2019,11,18,3.5,13.3,0,4,0,6.47
2019,11,18,4,13.2,0,4,0,6.58
2019,11,18,4.5,13.2,0,4,0,6.58
2019,11,18,5,12,0,4,0,6.79
2019,11,18,5.5,12,0,4,0,6.79
2019,11,18,6,11.9,0,4,0,8.94
2019,11,18,6.5,11.9,0,4,0,9.07
2019,11,18,7,12,0,2,-0.015,11.58
2019,11,18,7.5,12,0,2,-0.01,11.58
2019,11,18,8,11.5,0,10,0.003,11.58
2019,11,18,8.5,11.5,0,10,0.025,11.58
2019,11,18,9,10,0.5,10,0.129,12.62
2019,11,18,9.5,10,0.5,10,0.99,12.62
2019,11,18,10,10.3,1.5,4,1.022,10.8
2019,11,18,10.5,10.3,1.5,4,1.151,10.8
2019,11,18,11,12.9,0,2,1.164,9.13
2019,11,18,11.5,12.9,0,2,1.189,9.13
2019,11,18,12,16.6,0,2,1.15,6.76
2019,11,18,12.5,16.6,0,2,1.17,6.76
2019,11,18,13,19,0,2,0.832,7.12
2019,11,18,13.5,19,0,2,0.376,7.55
2019,11,18,14,21.2,0,2,0.275,8.88
2019,11,18,14.5,21.2,0,2,0.675,8.88
2019,11,18,15,21,0,2,0.518,9.07
2019,11,18,15.5,21,0,2,0.141,9.07
2019,11,18,16,20.4,0,2,0.049,13.47
2019,11,18,16.5,20.4,0,2,0.033,13.47
2019,11,18,17,20.1,0,2,-0.03,13.83
2019,11,18,17.5,20.1,0,2,0,13.83
2019,11,18,18,20.2,0,4,0,13.83
2019,11,18,18.5,20.2,0,4,0,13.83
2019,11,18,19,20.6,0,4,0,9.88
2019,11,18,19.5,20.6,0,4,0,9.66
2019,11,18,20,21,0,4,0,9.65
2019,11,18,20.5,21,0,4,0,9.65
2019,11,18,21,21.3,0,4,0,9.12
2019,11,18,21.5,21.3,0,4,0,8.93
2019,11,18,22,21.2,0,10,0,9.13
2019,11,18,22.5,21.2,0,10,0,8.95
2019,11,18,23,21.8,0,4,0,8.92
2019,11,18,23.5,21.8,0,4,0,8.93
2019,11,19,0,21.7,0,4,0,7.06
2019,11,19,0.5,21.7,0,4,0,7.06
2019,11,19,1,20.7,0,10,0,7.03
2019,11,19,1.5,20.7,0,10,0,7.03
2019,11,19,2,20.1,1.5,10,0,7.01
2019,11,19,2.5,20.1,1.5,10,0,7.01
2019,11,19,3,20.6,0.5,10,0,6.81
2019,11,19,3.5,20.6,0.5,10,0,6.81
2019,11,19,4,15.5,1,10,0,6.81
2019,11,19,4.5,15.5,1,10,0,6.81
2019,11,19,5,14.7,1.5,10,0,6.98
2019,11,19,5.5,14.7,1.5,10,0,7.07
2019,11,19,6,14.3,0.5,10,0,8.95
2019,11,19,6.5,14.3,0.5,10,0,9.13
2019,11,19,7,14.3,0,4,-0.015,9.66
2019,11,19,7.5,14.3,0,4,0.084,9.66
2019,11,19,8,14.6,0,4,0.06,10.93
2019,11,19,8.5,14.6,0,4,0.154,10.93
2019,11,19,9,14.9,0,4,0.355,10.93
2019,11,19,9.5,14.9,0,4,0.289,10.21
2019,11,19,10,16.3,0,4,0.456,9.4
2019,11,19,10.5,16.3,0,4,1.5,9.4
2019,11,19,11,16.9,0,4,1.211,8.32
2019,11,19,11.5,16.9,0,4,1.209,8.94
2019,11,19,12,18.2,0,4,1.281,6.67
2019,11,19,12.5,18.2,0,4,1.144,6.67
2019,11,19,13,19,0,2,1.086,6.8
2019,11,19,13.5,19,0,2,1.094,7.07
2019,11,19,14,20.3,0,2,0.302,8.53
2019,11,19,14.5,20.3,0,2,0.346,8.53
2019,11,19,15,20.7,0,2,0.16,9.13
2019,11,19,15.5,20.7,0,2,0.313,9.13
2019,11,19,16,19.4,0,2,0.044,13.59
2019,11,19,16.5,19.4,0,2,-0.014,13.59
2019,11,19,17,18.1,0,2,-0.033,13.59
2019,11,19,17.5,18.1,0,2,0,13.59
2019,11,19,18,17.2,0,2,0,12.81
2019,11,19,18.5,17.2,0,2,0,12.81
2019,11,19,19,16.8,0,4,0,10.9
2019,11,19,19.5,16.8,0,4,0,10.54
2019,11,19,20,16.4,0,4,0,9.45
2019,11,19,20.5,16.4,0,4,0,9.45
2019,11,19,21,15.3,0,10,0,9.18
2019,11,19,21.5,15.3,0,10,0,9.18
2019,11,19,22,15.2,0,4,0,9.26
2019,11,19,22.5,15.2,0,4,0,9.26
2019,11,19,23,14.9,0,4,0,7.62
2019,11,19,23.5,14.9,0,4,0,7.47
